term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note
"Nausea","Gastrointestinal disorders","CTCAE v5.0","queasy;upset stomach","Loss of appetite without altered eating habits","Oral intake decreased without significant weight loss, dehydration, or malnutrition","Inadequate oral intake; tube feeding, TPN, or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Sensation of unease and discomfort in the upper stomach with urge to vomit.","Supportive-care quick reference."
"Constipation","Gastrointestinal disorders","CTCAE v5.0","hard stool;ileus differential","Occasional or intermittent symptoms; occasional stool softener or laxative indicated","Persistent symptoms with regular laxatives or enemas indicated; limiting instrumental ADL","Obstipation with manual evacuation indicated; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Infrequent or difficult evacuation of feces.","Consider ileus or bowel obstruction if severe."
"Abdominal pain","Gastrointestinal disorders","CTCAE v5.0","belly pain;stomach pain","Mild pain","Moderate pain; limiting instrumental ADL","Severe pain; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Pain in the abdominal region.","Broad symptom term; search etiology separately."
"Gastrointestinal hemorrhage","Gastrointestinal disorders","CTCAE v5.0","GI bleeding;melena;hematochezia","Mild symptoms; intervention not indicated","Moderate symptoms; medical intervention indicated","Transfusion, radiologic, endoscopic, or operative intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Bleeding originating in the gastrointestinal tract.","Consider anti-VEGF, thrombocytopenia and tumor bleeding."
"Pancreatitis","Gastrointestinal disorders","CTCAE v5.0","pancreas inflammation;amylase lipase symptom","Asymptomatic enzyme elevation or mild symptoms","Moderate symptoms; medical intervention indicated","Severe pain, vomiting, or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Inflammation of the pancreas.","Also search lipase/amylase increased."
"Ascites","Gastrointestinal disorders","CTCAE v5.0","腹水;fluid abdomen","Asymptomatic; intervention not indicated","Symptomatic; medical intervention indicated","Severe symptoms; invasive intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Accumulation of fluid in the peritoneal cavity.","Useful for liver cancer and peritoneal disease."
"Hyponatremia","Metabolism and nutrition disorders","CTCAE v5.0","low sodium;Na","Mild sodium decrease; usually asymptomatic","Moderate sodium decrease; intervention indicated","Severe sodium decrease or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low serum sodium.","Use protocol numeric threshold."
"Hypokalemia","Metabolism and nutrition disorders","CTCAE v5.0","low potassium;K","Mild potassium decrease; usually asymptomatic","Moderate potassium decrease; oral replacement indicated","Severe potassium decrease; IV replacement or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low serum potassium.","Relevant for diarrhea, vomiting and renal toxicity."
"Hyperglycemia","Metabolism and nutrition disorders","CTCAE v5.0","high glucose;diabetes;ICI diabetes","Mild glucose increase; usually asymptomatic","Moderate glucose increase; medication indicated","Severe hyperglycemia; hospitalization indicated","Life-threatening consequences, ketoacidosis, or urgent intervention indicated","Death","Abnormally high blood glucose.","Important for steroids and ICI-related diabetes."
"Dehydration","Metabolism and nutrition disorders","CTCAE v5.0","volume depletion","Increased oral fluids indicated","IV fluids indicated <24 hours","IV fluids or hospitalization indicated >24 hours","Life-threatening consequences; urgent intervention indicated","Death","Excessive loss of body water.","Common with diarrhea, vomiting and poor intake."
"Weight loss","Metabolism and nutrition disorders","CTCAE v5.0","body weight decreased;cachexia","5 to <10% from baseline","10 to <20% from baseline; nutritional support indicated",">=20% from baseline; tube feeding or TPN indicated","Life-threatening consequences; urgent intervention indicated","Death","Decrease in body weight.","Use baseline and protocol-specific timing."
"Lung infection","Infections and infestations","CTCAE v5.0","pneumonia;pulmonary infection","Mild symptoms; oral intervention indicated","Moderate symptoms; IV antibiotics or oxygen indicated","Severe symptoms; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Infection involving the lung.","Differentiate from pneumonitis or ILD."
"Sepsis","Infections and infestations","CTCAE v5.0","septicemia;bloodstream infection","-","Moderate symptoms; IV antibiotics indicated","Severe systemic infection; hospitalization indicated","Life-threatening consequences; vasopressor or ICU-level care indicated","Death","Systemic inflammatory response to infection.","Usually SAE-relevant."
"Stevens-Johnson syndrome","Skin and subcutaneous tissue disorders","CTCAE v5.0","SJS;severe skin reaction","-","-","Severe skin/mucosal eruption; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Severe mucocutaneous hypersensitivity reaction.","Emergency."
"Acneiform rash","Skin and subcutaneous tissue disorders","CTCAE v5.0","EGFR rash;papulopustular rash","Papules/pustules covering <10% BSA; symptoms absent or mild","10-30% BSA or psychosocial impact; intervention indicated",">30% BSA or limiting self-care ADL; oral antibiotics indicated","Life-threatening consequences; urgent intervention indicated","Death","Acne-like papulopustular eruption.","Relevant for EGFR inhibitors."
"Hypotension","Vascular disorders","CTCAE v5.0","low blood pressure;shock","Asymptomatic; intervention not indicated","Non-urgent medical intervention indicated","Medical intervention or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low blood pressure.","Consider infusion reaction, sepsis and adrenal crisis."
"Atrial fibrillation","Cardiac disorders","CTCAE v5.0","AF;Afib","Asymptomatic; intervention not indicated","Non-urgent medical intervention indicated","Symptomatic and incompletely controlled; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Irregular atrial rhythm consistent with atrial fibrillation.","Check electrolytes, infection and cardiac toxicity."
"Ejection fraction decreased","Investigations","CTCAE v5.0","LVEF decreased;cardiomyopathy","Asymptomatic decline; no intervention indicated","Asymptomatic decline requiring intervention or increased monitoring","Symptomatic heart failure or severe decline; intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Decrease in left ventricular ejection fraction.","Important for HER2 agents, TKI and anthracycline."
"Cognitive disturbance","Nervous system disorders","CTCAE v5.0","cognition;memory;brain fog","Mild cognitive symptoms; not limiting ADL","Moderate symptoms; limiting instrumental ADL","Severe symptoms; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Impairment of cognitive function.","Consider encephalitis and metabolic causes."
"Keratitis","Eye disorders","CTCAE v5.0","corneal inflammation;cornea","Asymptomatic or mild symptoms; lubricants indicated","Moderate symptoms; topical intervention indicated","Severe symptoms; limiting self-care ADL or urgent ophthalmology indicated","Sight-threatening consequences; urgent intervention indicated","-","Inflammation of the cornea.","ADC and targeted therapy relevant."
"Anaphylaxis","Immune system disorders","CTCAE v5.0","anaphylactic reaction;severe allergy","-","-","Symptomatic bronchospasm, angioedema, or parenteral intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Severe systemic hypersensitivity reaction.","Emergency; often SAE-relevant."
